"eDate","eType","eNight","eDay"
2025-08-13,"Data collector reading",48449,45190
2025-07-16,"Estimated reading",48082,45048
2025-07-01,"Estimated reading",47997,45008
2025-06-15,"Your reading",47907,44966
2025-05-15,"Estimated reading",47637,44776
2025-04-14,"Estimated reading",47439,44700
2025-04-01,"Estimated reading",47354,44681
2025-03-20,"Data collector reading",47240,44633
2025-03-14,"Your reading",47197,44617
2025-03-05,"Estimated reading",47151,44873
2025-02-02,"Estimated reading",46776,44711
2025-01-02,"Estimated reading",46428,44556
2025-01-01,"Estimated reading",46401,44369
2024-12-02,"Estimated reading",46113,44404
2024-11-01,"Estimated reading",45811,44259
2024-10-01,"Estimated reading",45606,44086
2024-08-31,"Estimated reading",45437,44040
2024-07-31,"Estimated reading",45048,43907
2024-07-30,"Data collector reading",45289,43949
2024-07-01,"Estimated reading",44915,43817
2024-06-30,"Estimated reading",44910,43814
2024-05-31,"Estimated reading",44790,43734
2024-04-30,"Data collector reading",44642,43638
2024-04-28,"Estimated reading",43843,44495
2024-04-01,"Estimated reading",43700,44357
2024-03-27,"Estimated reading",43667,44330
2024-02-27,"Data collector reading",43460,44159
2024-02-17,"Estimated reading",43916,43487
2024-01-19,"Your reading",43724,43316
2024-01-02,"Estimated reading",43444,43735
2024-01-01,"Estimated reading",43561,43263
2023-12-02,"Estimated reading",43268,43398
2023-11-01,"Data collector reading",43114,43104
2023-10-15,"Estimated reading",42964,42717
2023-10-01,"Estimated reading",42929,42636
2023-09-14,"Estimated reading",42890,42543
2023-08-14,"Estimated reading",42823,42379
2023-07-14,"Estimated reading",42753,42208
2023-07-01,"Estimated reading",42724,42139
2023-06-15,"Your reading",42690,42056
2023-04-13,"Estimated reading",42520,42221
2023-04-01,"Estimated reading",42467,42074
2023-03-14,"Change of supply reading",42384,41850
