"gDate","gType","gNumber"
2025-07-16,"Estimated reading",6229
2025-07-01,"Estimated reading",6215
2025-06-15,"Your reading",6198
2025-05-21,"Estimated reading",6194
2025-04-20,"Your reading",6108
2025-04-01,"Estimated reading",6062
2025-03-20,"Your reading",6026
2025-03-14,"Your reading",5998
2025-03-04,"Estimated reading",6052
2025-02-01,"Estimated reading",5839
2025-01-01,"Estimated reading",5556
2024-12-01,"Estimated reading",5410
2024-10-31,"Estimated reading",5247
2024-10-01,"Estimated reading",5146
2024-09-30,"Estimated reading",5153
2024-08-30,"Estimated reading",5108
2024-07-30,"Your reading",5075
2024-07-29,"Estimated reading",5110
2024-07-01,"Estimated reading",5046
2024-06-28,"Estimated reading",5076
2024-05-28,"Estimated reading",5030
2024-04-28,"Estimated reading",4956
2024-04-01,"Estimated reading",4826
2024-03-27,"Estimated reading",4809
2024-02-27,"Your reading",4646
2024-02-17,"Estimated reading",4568
2024-01-19,"Your reading",4361
2024-01-02,"Estimated reading",4364
2024-01-01,"Estimated reading",4265
2023-12-02,"Estimated reading",4157
2023-11-01,"Your reading",3991
2023-10-15,"Estimated reading",3891
2023-10-01,"Estimated reading",3856
2023-09-14,"Estimated reading",3828
2023-08-14,"Estimated reading",3794
2023-07-14,"Estimated reading",3764
2023-07-01,"Estimated reading",3750
2023-06-08,"Your reading",3721
2023-05-08,"Your reading",3640
2023-04-13,"Estimated reading",3544
2023-04-07,"Your reading",3526
